SAMSUNG,HYUNDAI,SK
81600,243000,128500
81900,241000,126000
81000,239500,125000
80700,239500,127500
80100,242000,124500
80000,239000,122500
80400,236000,123000
81200,236000,125000
80800,232000,123500
79900,229500,121500
79400,226000,119500
79700,230000,120000
79800,230000,123000
79500,230000,123500
80600,231500,123500
79800,230000,121500
79000,227500,119000
79000,227000,118500
78500,228000,117000
79700,228500,119500
79300,225500,118500
78800,224500,117000
78500,225000,116000
79200,222500,114000
79000,222000,114000
78500,218000,112500
79300,220000,116000
81400,223500,120000
82900,225000,121000
82100,223000,120000
81500,222500,118000
81500,221000,116000
80200,219000,112500
78500,218500,105500
77000,219000,100500
74400,217000,101500
74200,213000,101500
73900,212500,104000
73100,206500,102500
72700,201500,102500
73300,204000,103000
75600,209500,105000
75700,209500,103500
74600,210000,104000
74300,208500,103500
74600,210000,103500
76700,212500,106500
76800,215000,108000
76000,211500,106500
76600,214500,107000
77300,215000,106000
76100,212500,104500
76300,213000,106000
75300,208500,103000
75300,206500,105000
76300,205000,106500
76600,209000,107500
77000,209500,107500
76100,208000,104000
77200,209000,107000
77400,208500,105500
77300,207000,104000
77700,204000,104500
76300,201500,103500
74100,201500,100000
74100,200000,103000
73200,193500,100000
72200,193500,97900
71300,194000,96500
71600,201000,95700
71500,205000,94000
69000,204500,91500
68800,211000,92000
69400,209000,93800
70100,208500,98400
70200,209500,97100
70600,209000,97700
70300,209000,97900
70200,207500,96300
70400,207500,98500
70200,211000,100000
71100,213500,102000
70100,213500,101500
70700,210000,106500
69800,208000,103000
69900,208000,106500
71500,210000,107500
70400,208500,105500
70600,214000,106000
70200,215000,107000
70600,215000,107500
70500,213000,109000
70200,208500,108500
69900,205000,107500
70600,208000,106500
71400,209000,111000
71300,206500,112000
70700,207000,110500
70200,205000,110000
71200,209500,111500
74900,218500,119500
75300,215000,119000
74800,212000,119500
73700,210000,117500
72300,205500,115500
72300,200500,116000
71300,195500,114000
74400,201000,116500
75800,205500,120000
75600,206000,118000
76300,206500,118500
77400,207500,121500
77400,207500,120000
78200,207000,123500
76900,207500,120500
76800,209000,121500
77000,211000,121000
77600,209000,123500
77800,209500,124000
78000,209500,122000
77100,205000,120500
78100,205000,124500
79400,206500,127000
79900,209000,127500
80500,215500,128000
80200,213500,126000
80300,214000,127500
78800,212000,127000
78300,209000,131000
78600,210500,128500
78700,210000,128500
77400,213500,125500
76900,214000,125000
78300,215000,127000
78000,209500,124500
78900,210500,128000
78900,211500,128500
77900,210000,129500
77300,209000,128500
77500,205000,127000
77000,202500,126500
76300,200500,127000
76500,202000,125000
75600,200000,119000
75100,197000,119000
74000,194500,118000
73300,190000,117500
71300,186500,113500
73300,189500,120500
73300,191500,124000
74000,190000,124500
73000,186500,123000
73500,184500,125000
74700,185000,126000
75400,185500,129500
74900,183000,132000
73700,176500,132500
73700,180500,127000
74800,182000,130500
75000,183500,133000
74300,183500,131500
74200,185000,130000
73400,181500,128500
73000,180500,128500
71500,173000,122500
71900,174000,123000
72100,175000,123500
71700,170500,125000
72900,177500,129000
71500,172500,124500
70100,168000,119500
69500,168000,118000
71200,169000,120000
70000,169000,117000
70200,164500,116000
69500,163000,112500
70400,168000,116500
71200,168500,124000
70700,171000,124000
69900,168500,122000
70300,173500,123500
70500,176000,123500
69800,176000,120500
69800,174000,118000
69700,174500,118000
70200,176500,120000
69900,181000,121000
69600,180500,118000
69100,178000,116000
69300,178000,117000
69200,179000,116500
68500,180000,113000
68000,178500,113500
67800,176500,112000
67900,179500,111500
67000,178000,111000
68700,181000,113000
67500,177500,110000
66600,177000,108000
66700,178500,109000
67300,181000,112500
67400,183000,112500
67700,183000,113000
67000,180000,110500
66300,182000,108000
66100,187000,111000
65000,187000,108500
64800,188500,109500
67400,186000,112500
67300,187000,110500
67500,183500,110000
67900,184000,109500
66500,182500,107500
66100,181500,107500
65700,180500,110000
65700,183000,110500
64900,180500,109000
66500,186500,112500
66300,184000,110500
67600,185500,112500
68100,185500,113500
67500,182000,111000
68000,186500,112500
67900,188000,113000
66500,185000,108500
66400,183500,108000
65900,184000,103000
66500,185500,106000
67700,187500,107000
67400,189500,108000
66700,187500,107000
66800,187000,107000
65500,183500,104000
65300,183000,106000
65200,182500,105500
63800,184500,103500
62100,175000,99000
61900,171500,99100
60700,174000,97900
60900,173000,97400
59800,170000,96400
58700,170500,94500
58500,172500,95200
57600,171500,92200
57400,171000,90200
58400,173000,91600
58800,183000,95000
59400,186000,95300
58000,175500,94000
57000,180500,91000
56200,180000,87500
57100,178000,89100
57200,177500,92500
56400,172500,92100
58200,175000,93900
58700,178000,94800
58800,179000,93700
58100,179000,93300
58000,183500,94000
57500,182500,94000
60000,183500,98700
