date,consumer
2016-06-03,0.7
2016-06-10,0.7
2016-06-17,0.7
2016-06-24,0.7
2016-07-01,0.4
2016-07-08,0.4
2016-07-15,0.4
2016-07-22,0.4
2016-07-29,0.4
2016-08-05,0.5
2016-08-12,0.5
2016-08-19,0.5
2016-08-26,0.5
2016-09-02,1.3
2016-09-09,1.3
2016-09-16,1.3
2016-09-23,1.3
2016-09-30,1.3
2016-10-07,1.5
2016-10-14,1.5
2016-10-21,1.5
2016-10-28,1.5
2016-11-04,1.5
2016-11-11,1.5
2016-11-18,1.5
2016-11-25,1.5
2016-12-02,1.3
2016-12-09,1.3
2016-12-16,1.3
2016-12-23,1.3
2016-12-30,1.3
2017-01-06,2.2
2017-01-13,2.2
2017-01-20,2.2
2017-01-27,2.2
2017-02-03,2.1
2017-02-10,2.1
2017-02-17,2.1
2017-02-24,2.1
2017-03-03,2.3
2017-03-10,2.3
2017-03-17,2.3
2017-03-24,2.3
2017-03-31,2.3
2017-04-07,2
2017-04-14,2
2017-04-21,2
2017-04-28,2
2017-05-05,2
2017-05-12,2
2017-05-19,2
2017-05-26,2
2017-06-02,1.8
2017-06-09,1.8
2017-06-16,1.8
2017-06-23,1.8
2017-06-30,1.8
2017-07-07,2.2
2017-07-14,2.2
2017-07-21,2.2
2017-07-28,2.2
2017-08-04,2.5
2017-08-11,2.5
2017-08-18,2.5
2017-08-25,2.5
2017-09-01,2
2017-09-08,2
2017-09-15,2
2017-09-22,2
2017-09-29,2
2017-10-06,1.8
2017-10-13,1.8
2017-10-20,1.8
2017-10-27,1.8
2017-11-03,1.2
2017-11-10,1.2
2017-11-17,1.2
2017-11-24,1.2
2017-12-01,1.4
2017-12-08,1.4
2017-12-15,1.4
2017-12-22,1.4
2017-12-29,1.4
2018-01-05,0.8
2018-01-12,0.8
2018-01-19,0.8
2018-01-26,0.8
2018-02-02,1.3
2018-02-09,1.3
2018-02-16,1.3
2018-02-23,1.3
2018-03-02,1.2
2018-03-09,1.2
2018-03-16,1.2
2018-03-23,1.2
2018-03-30,1.2
2018-04-06,1.5
2018-04-13,1.5
2018-04-20,1.5
2018-04-27,1.5
2018-05-04,1.5
2018-05-11,1.5
2018-05-18,1.5
2018-05-25,1.5
2018-06-01,1.5
2018-06-08,1.5
2018-06-15,1.5
2018-06-22,1.5
2018-06-29,1.5
2018-07-06,1.1
2018-07-13,1.1
2018-07-20,1.1
2018-07-27,1.1
2018-08-03,1.4
2018-08-10,1.4
2018-08-17,1.4
2018-08-24,1.4
2018-08-31,1.4
2018-09-07,2.1
2018-09-14,2.1
2018-09-21,2.1
2018-09-28,2.1
2018-10-05,2
2018-10-12,2
2018-10-19,2
2018-10-26,2
2018-11-02,2
2018-11-09,2
2018-11-16,2
2018-11-23,2
2018-11-30,2
2018-12-07,1.3
2018-12-14,1.3
2018-12-21,1.3
2018-12-28,1.3
2019-01-04,0.8
2019-01-11,0.8
2019-01-18,0.8
2019-01-25,0.8
2019-02-01,0.5
2019-02-08,0.5
2019-02-15,0.5
2019-02-22,0.5
2019-03-01,0.4
2019-03-08,0.4
2019-03-15,0.4
2019-03-22,0.4
2019-03-29,0.4
2019-04-05,0.6
2019-04-12,0.6
2019-04-19,0.6
2019-04-26,0.6
2019-05-03,0.7
2019-05-10,0.7
2019-05-17,0.7
2019-05-24,0.7
2019-05-31,0.7
2019-06-07,0.7
2019-06-14,0.7
2019-06-21,0.7
2019-06-28,0.7
2019-07-05,0.6
2019-07-12,0.6
2019-07-19,0.6
2019-07-26,0.6
2019-08-02,0
2019-08-09,0
2019-08-16,0
2019-08-23,0
2019-08-30,0
2019-09-06,-0.4
2019-09-13,-0.4
2019-09-20,-0.4
2019-09-27,-0.4
2019-10-04,0
2019-10-11,0
2019-10-18,0
2019-10-25,0
2019-11-01,0.2
2019-11-08,0.2
2019-11-15,0.2
2019-11-22,0.2
2019-11-29,0.2
2019-12-06,0.7
2019-12-13,0.7
2019-12-20,0.7
2019-12-27,0.7
2020-01-03,1.5
2020-01-10,1.5
2020-01-17,1.5
2020-01-24,1.5
2020-01-31,1.5
2020-02-07,1.1
2020-02-14,1.1
2020-02-21,1.1
2020-02-28,1.1
2020-03-06,1
2020-03-13,1
2020-03-20,1
2020-03-27,1
2020-04-03,0.1
2020-04-10,0.1
2020-04-17,0.1
2020-04-24,0.1
2020-05-01,-0.3
2020-05-08,-0.3
2020-05-15,-0.3
2020-05-22,-0.3
2020-05-29,-0.3
2020-06-05,0
2020-06-12,0
2020-06-19,0
2020-06-26,0
2020-07-03,0.3
2020-07-10,0.3
2020-07-17,0.3
2020-07-24,0.3
2020-07-31,0.3
2020-08-07,0.7
2020-08-14,0.7
2020-08-21,0.7
2020-08-28,0.7
2020-09-04,1
2020-09-11,1
2020-09-18,1
2020-09-25,1
2020-10-02,0.1
2020-10-09,0.1
2020-10-16,0.1
2020-10-23,0.1
2020-10-30,0.1
2020-11-06,0.6
2020-11-13,0.6
2020-11-20,0.6
2020-11-27,0.6
2020-12-04,0.5
2020-12-11,0.5
2020-12-18,0.5
2020-12-25,0.5
2021-01-01,0.6
2021-01-08,0.6
2021-01-15,0.6
2021-01-22,0.6
2021-01-29,0.6
2021-02-05,1.1
2021-02-12,1.1
2021-02-19,1.1
2021-02-26,1.1
2021-03-05,1.5
2021-03-12,1.5
2021-03-19,1.5
2021-03-26,1.5
2021-04-02,2.3
2021-04-09,2.3
2021-04-16,2.3
2021-04-23,2.3
2021-04-30,2.3
2021-05-07,2.6
2021-05-14,2.6
2021-05-21,2.6
2021-05-28,2.6
