date,dtbio
2016-06-03,66
2016-06-10,44
2016-06-17,15
2016-06-24,37
2016-07-01,44
2016-07-08,36
2016-07-15,22
2016-07-22,44
2016-07-29,22
2016-08-05,8
2016-08-12,48
2016-08-19,23
2016-08-26,23
2016-09-02,38
2016-09-09,32
2016-09-16,7
2016-09-23,44
2016-09-30,29
2016-10-07,22
2016-10-14,37
2016-10-21,15
2016-10-28,15
2016-11-04,30
2016-11-11,0
2016-11-18,22
2016-11-25,28
2016-12-02,34
2016-12-09,48
2016-12-16,29
2016-12-23,29
2016-12-30,28
2017-01-06,69
2017-01-13,21
2017-01-20,15
2017-01-27,47
2017-02-03,33
2017-02-10,20
2017-02-17,39
2017-02-24,46
2017-03-03,60
2017-03-10,26
2017-03-17,39
2017-03-24,32
2017-03-31,32
2017-04-07,26
2017-04-14,77
2017-04-21,19
2017-04-28,40
2017-05-05,13
2017-05-12,64
2017-05-19,36
2017-05-26,21
2017-06-02,50
2017-06-09,42
2017-06-16,35
2017-06-23,14
2017-06-30,7
2017-07-07,43
2017-07-14,36
2017-07-21,14
2017-07-28,63
2017-08-04,27
2017-08-11,14
2017-08-18,28
2017-08-25,36
2017-09-01,63
2017-09-08,49
2017-09-15,56
2017-09-22,50
2017-09-29,23
2017-10-06,33
2017-10-13,7
2017-10-20,41
2017-10-27,40
2017-11-03,59
2017-11-10,38
2017-11-17,38
2017-11-24,38
2017-12-01,19
2017-12-08,32
2017-12-15,26
2017-12-22,13
2017-12-29,25
2018-01-05,37
2018-01-12,31
2018-01-19,43
2018-01-26,38
2018-02-02,19
2018-02-09,28
2018-02-16,25
2018-02-23,32
2018-03-02,39
2018-03-09,45
2018-03-16,37
2018-03-23,38
2018-03-30,18
2018-04-06,25
2018-04-13,25
2018-04-20,31
2018-04-27,38
2018-05-04,54
2018-05-11,35
2018-05-18,36
2018-05-25,49
2018-06-01,37
2018-06-08,35
2018-06-15,43
2018-06-22,12
2018-06-29,24
2018-07-06,30
2018-07-13,63
2018-07-20,43
2018-07-27,60
2018-08-03,47
2018-08-10,18
2018-08-17,60
2018-08-24,48
2018-08-31,36
2018-09-07,66
2018-09-14,30
2018-09-21,59
2018-09-28,48
2018-10-05,45
2018-10-12,31
2018-10-19,38
2018-10-26,19
2018-11-02,25
2018-11-09,25
2018-11-16,49
2018-11-23,56
2018-11-30,43
2018-12-07,38
2018-12-14,38
2018-12-21,27
2018-12-28,60
2019-01-04,50
2019-01-11,38
2019-01-18,25
2019-01-25,38
2019-02-01,34
2019-02-08,54
2019-02-15,30
2019-02-22,63
2019-03-01,13
2019-03-08,49
2019-03-15,18
2019-03-22,55
2019-03-29,43
2019-04-05,36
2019-04-12,42
2019-04-19,67
2019-04-26,61
2019-05-03,31
2019-05-10,36
2019-05-17,53
2019-05-24,29
2019-05-31,35
2019-06-07,47
2019-06-14,53
2019-06-21,47
2019-06-28,12
2019-07-05,60
2019-07-12,61
2019-07-19,13
2019-07-26,77
2019-08-02,51
2019-08-09,42
2019-08-16,54
2019-08-23,59
2019-08-30,51
2019-09-06,37
2019-09-13,62
2019-09-20,62
2019-09-27,51
2019-10-04,40
2019-10-11,74
2019-10-18,39
2019-10-25,52
2019-11-01,57
2019-11-08,44
2019-11-15,44
2019-11-22,33
2019-11-29,55
2019-12-06,48
2019-12-13,37
2019-12-20,38
2019-12-27,16
2020-01-03,51
2020-01-10,55
2020-01-17,49
2020-01-24,46
2020-01-31,90
2020-02-07,63
2020-02-14,52
2020-02-21,48
2020-02-28,52
2020-03-06,58
2020-03-13,90
2020-03-20,77
2020-03-27,72
2020-04-03,67
2020-04-10,41
2020-04-17,60
2020-04-24,69
2020-05-01,50
2020-05-08,84
2020-05-15,62
2020-05-22,66
2020-05-29,41
2020-06-05,65
2020-06-12,41
2020-06-19,70
2020-06-26,59
2020-07-03,87
2020-07-10,63
2020-07-17,34
2020-07-24,56
2020-07-31,72
2020-08-07,34
2020-08-14,52
2020-08-21,72
2020-08-28,85
2020-09-04,79
2020-09-11,58
2020-09-18,60
2020-09-25,33
2020-10-02,53
2020-10-09,42
2020-10-16,47
2020-10-23,38
2020-10-30,41
2020-11-06,57
2020-11-13,42
2020-11-20,82
2020-11-27,72
2020-12-04,48
2020-12-11,47
2020-12-18,64
2020-12-25,40
2021-01-01,79
2021-01-08,92
2021-01-15,62
2021-01-22,80
2021-01-29,49
2021-02-05,82
2021-02-12,85
2021-02-19,71
2021-02-26,88
2021-03-05,88
2021-03-12,77
2021-03-19,73
2021-03-26,93
2021-04-02,100
2021-04-09,76
2021-04-16,99
2021-04-23,90
2021-04-30,42
2021-05-07,68
2021-05-14,73
2021-05-21,49
2021-05-28,93
