Date,Bean,DataTrend,ConsumerPriceIndex,ExchangeRate,NumberOfConfirmedCases,ClearAndFreshSea-LabeledCookingOil
06월 01일,109400,13,100.7,1152 ,0,4119
07월 01일,109400,10,100.4,1120 ,0,4122
08월 01일,112264,13,100.5,1115 ,0,4205
09월 01일,112400,10,101.3,1101 ,0,4241
10월 01일,112190,7,101.5,1145 ,0,4253
11월 01일,111000,6,101.5,1169 ,0,4280
12월 01일,111000,10,101.3,1208 ,0,4256
01월 01일,111200,13,102.2,1162 ,0,4221
02월 01일,111000,8,102.1,1131 ,0,4194
03월 01일,111000,12,102.3,1118 ,0,4150
04월 01일,111000,12,102,1138 ,0,4191
05월 01일,111000,9,102,1120 ,0,4186
06월 01일,110933,9,101.8,1144 ,0,4202
07월 01일,110800,8,102.2,1119 ,0,4136
08월 01일,110800,9,102.5,1128 ,0,4243
09월 01일,110800,9,102,1145 ,0,4184
10월 01일,110800,12,101.8,1120 ,0,4211
11월 01일,109800,6,101.2,1088 ,0,4206
12월 01일,110632,8,101.4,1071 ,0,4258
01월 01일,112000,17,100.8,1068 ,0,3996
02월 01일,111389,20,101.3,1083 ,0,4366
03월 01일,111000,8,101.2,1064 ,0,4318
04월 01일,111000,7,101.5,1068 ,0,4334
05월 01일,111060,6,101.5,1078 ,0,4332
06월 01일,111453,12,101.5,1115 ,0,4322
07월 01일,111509,13,101.1,1119 ,0,4254
08월 01일,110800,15,101.4,1113 ,0,4209
09월 01일,110800,11,102.1,1109 ,0,4027
10월 01일,114476,11,102,1140 ,0,3995
11월 01일,119018,6,102,1121 ,0,3949
12월 01일,121326,12,101.3,1116 ,0,3925
01월 01일,126373,7,100.8,1113 ,0,4018
02월 01일,126600,12,100.5,1125 ,0,3947
03월 01일,128680,10,100.4,1135 ,0,4004
04월 01일,136745,6,100.6,1168 ,0,3891
05월 01일,142829,9,100.7,1191 ,0,3857
06월 01일,144084,13,100.7,1155 ,0,4009
07월 01일,146400,13,100.6,1183 ,0,3674
08월 01일,144400,14,100,1211 ,0,3868
09월 01일,144463,5,99.6,1196 ,0,3978
10월 01일,144095,14,100,1163 ,0,3974
11월 01일,141943,10,100.2,1181 ,0,3887
12월 01일,142000,16,100.7,1156 ,0,3922
01월 01일,142000,10,101.5,1192 ,11,4006
02월 01일,142900,11,101.1,1214 ,2920,4077
03월 01일,142136,13,101,1217 ,6855,4013
04월 01일,133100,17,100.1,1218 ,979,4016
05월 01일,127368,13,99.7,1239 ,703,4050
06월 01일,127564,19,100,1203 ,1331,4078
07월 01일,125400,11,100.3,1191 ,1506,4070
08월 01일,125400,8,100.7,1188 ,5641,4093
09월 01일,125600,13,101,1170 ,3865,4073
10월 01일,128789,27,100.1,1135 ,2700,4116
11월 01일,133390,12,100.6,1107 ,7688,4073
12월 01일,135752,9,100.5,1086 ,26528,4187
01월 01일,135600,12,100.6,1119 ,17471,4105
02월 01일,135644,18,101.1,1124 ,11467,4129
03월 01일,136700,11,101.5,1132 ,13415,4177
04월 01일,136618,11,102.3,1112 ,18927,4174
05월 01일,136253,10,102.6,1111 ,18331,4150
